filepath,species,image_name,height,width,R_mean,G_mean,B_mean,luminosity,sharpness_score,image_size,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\226.png,Black-grass,226.png,677,677,86.11383962175643,66.80581198222238,48.334554435787396,67.08473534658874,145.95827566460014,458329,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\293.png,Black-grass,293.png,372,372,73.47086368366286,60.3034743901029,39.41098681928547,57.728441631017084,37.187340119832896,138384,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\303.png,Black-grass,303.png,993,993,76.67936786102922,68.11210497652753,61.19397413313131,68.66181565689602,284.9847386270172,986049,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\268.png,Black-grass,268.png,575,575,92.86263894139887,80.8408831758034,67.83641587901701,80.51331266540643,126.46269116314153,330625,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\239.png,Black-grass,239.png,1571,1571,86.2208350671646,67.7499984805763,48.479207598253026,67.48334704866464,762.757019722109,2468041,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\181.png,Black-grass,181.png,331,331,102.44587946440795,90.55266928925438,81.52159071202344,91.50671315522858,47.08725540773154,109561,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\275.png,Black-grass,275.png,685,685,110.45998401619693,103.34926740902552,98.50049123554798,104.10324755359015,198.65557644044225,469225,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\252.png,Black-grass,252.png,334,334,84.28913729427373,66.55833841299437,49.339874143927716,66.72911661706527,40.00568269470377,111556,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\84.png,Black-grass,84.png,402,402,92.83841984109304,80.02318011930397,68.0111878418851,80.29092926742737,61.45059262073518,161604,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\148.png,Black-grass,148.png,749,749,87.25432931492101,68.77211092315343,50.23245591362582,68.75296538390008,173.59468036897508,561001,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\171.png,Black-grass,171.png,1311,1311,98.23959095164369,88.74438899623615,73.65852049285486,86.8808334802449,575.4660886226189,1718721,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\173.png,Black-grass,173.png,170,170,91.47785467128028,80.11740484429066,49.835709342560556,73.81032295271051,9.770770375418605,28900,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\284.png,Black-grass,284.png,975,975,82.71978435239974,74.74578619329388,66.93318921761998,74.7995865877712,291.92878395874845,950625,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\106.png,Black-grass,106.png,91,91,85.52686873565995,74.67757517208067,56.87549812824538,72.359980678662,3.047918520312914,8281,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\270.png,Black-grass,270.png,588,588,80.88806457957332,70.6903286824934,61.42925690684437,71.00255005630369,116.69404793115173,345744,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\263.png,Black-grass,263.png,630,630,91.00949609473419,82.58610733182162,77.37850592088688,83.65803644914756,119.53605822331019,396900,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\131.png,Black-grass,131.png,211,211,104.27218615934054,97.61887648525415,91.41366995350509,97.7682441993666,18.073569957749807,44521,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\128.png,Black-grass,128.png,723,723,86.5473294957808,76.05633320515985,69.6109073726539,77.40485669119818,163.99314812808043,522729,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\222.png,Black-grass,222.png,1136,1137,96.61252663297286,88.45352933343243,82.46901594262143,89.17835730300891,389.49086178865684,1291632,not square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\333.png,Black-grass,333.png,220,220,79.71520661157025,68.83545454545454,44.855619834710744,64.46876033057852,16.712146829790083,48400,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\15.png,Black-grass,15.png,147,147,86.00610856587532,69.39566847147022,51.12189365542135,68.84122356425563,8.013780422862991,21609,square
C:\Users\charl\OneDrive\Documents\Formation\Datascientest\Projet\Dataset\Black-grass\87.png,Black-grass,87.png,78,78,85.88510848126232,70.61686390532545,51.15384615384615,69.21860618014465,1.9596857171051107,6084,square
