epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6077426671981812,1.1648335456848145,0.001,0.7974537014961243,0.58162522315979
1,0.7677199244499207,0.632067859172821,0.001,0.8263888955116272,0.49072781205177307
2,0.8050099611282349,0.5388861894607544,0.001,0.8692129850387573,0.3951551914215088
3,0.8260746002197266,0.47448232769966125,0.001,0.8622685074806213,0.42151355743408203
4,0.8505550622940063,0.4097871780395508,0.001,0.8680555820465088,0.38964638113975525
5,0.846854567527771,0.39865463972091675,0.001,0.8796296119689941,0.35412734746932983
6,0.8590947985649109,0.38526681065559387,0.001,0.8634259104728699,0.38926559686660767
7,0.8531169891357422,0.391000896692276,0.001,0.8784722089767456,0.34991779923439026
8,0.8622260093688965,0.37642794847488403,0.001,0.8865740895271301,0.3411453664302826
9,0.8818673491477966,0.3091418445110321,0.0005,0.8946759104728699,0.32967379689216614
10,0.8812980651855469,0.31825873255729675,0.0005,0.8773148059844971,0.3775138854980469
11,0.8824366927146912,0.31250861287117004,0.0005,0.8819444179534912,0.3529144823551178
12,0.8832906484603882,0.2995336949825287,0.0005,0.8946759104728699,0.3142990171909332
13,0.891830325126648,0.2789471447467804,0.00025,0.8935185074806213,0.3318265378475189
14,0.8943922519683838,0.27479371428489685,0.00025,0.8935185074806213,0.3150911033153534
15,0.9015086889266968,0.25325730443000793,0.00025,0.8912037014961243,0.3131844997406006
16,0.8963848352432251,0.2725638747215271,0.000125,0.9120370149612427,0.2901943624019623
17,0.9015086889266968,0.26217564940452576,0.000125,0.9027777910232544,0.29708990454673767
18,0.9026473164558411,0.23623543977737427,0.000125,0.8981481194496155,0.3068010210990906
19,0.9035012722015381,0.24776747822761536,0.000125,0.9004629850387573,0.3169326186180115
20,0.9040706157684326,0.2536780536174774,6.25e-05,0.9108796119689941,0.29249587655067444
21,0.9003700613975525,0.24312403798103333,6.25e-05,0.9085648059844971,0.31316429376602173
22,0.9063478708267212,0.2322394847869873,6.25e-05,0.9097222089767456,0.30965936183929443
23,0.9063478708267212,0.2439010590314865,3.125e-05,0.9050925970077515,0.3032573163509369
24,0.9074864983558655,0.2428981214761734,3.125e-05,0.9050925970077515,0.29744240641593933
25,0.9066324830055237,0.2322317212820053,3.125e-05,0.9027777910232544,0.2992844879627228
26,0.9066324830055237,0.22902977466583252,1.5625e-05,0.8993055820465088,0.31375107169151306
27,0.9123256206512451,0.2262289971113205,1.5625e-05,0.9004629850387573,0.29914093017578125
28,0.9091944098472595,0.2340259850025177,1.5625e-05,0.8993055820465088,0.2789003849029541
29,0.9074864983558655,0.23002618551254272,7.8125e-06,0.8981481194496155,0.3100455701351166
