epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.35695984959602356,1.9109193086624146,0.001,0.6354166865348816,1.1068997383117676
1,0.6225448250770569,1.1083589792251587,0.001,0.7627314925193787,0.7138083577156067
2,0.6976943016052246,0.8681378364562988,0.001,0.7951388955116272,0.5673193335533142
3,0.7309991717338562,0.7503634691238403,0.001,0.8020833134651184,0.5717588067054749
4,0.7557643055915833,0.687655508518219,0.001,0.8287037014961243,0.5066752433776855
5,0.7665812969207764,0.6506379842758179,0.001,0.8263888955116272,0.4622199833393097
6,0.7722744345664978,0.6118592023849487,0.001,0.8055555820465088,0.517223060131073
7,0.7967548966407776,0.565991997718811,0.001,0.8506944179534912,0.43174928426742554
8,0.7961856126785278,0.5510483980178833,0.001,0.8576388955116272,0.41481688618659973
9,0.8089951872825623,0.5448802709579468,0.001,0.84375,0.43902793526649475
10,0.8126956820487976,0.5123363733291626,0.001,0.8553240895271301,0.4026620388031006
11,0.8354682326316833,0.43102797865867615,0.0005,0.875,0.3595113456249237
12,0.8553942441940308,0.40631958842277527,0.0005,0.8900462985038757,0.32077351212501526
13,0.8445773124694824,0.4079118072986603,0.0005,0.8854166865348816,0.340934693813324
14,0.8508397340774536,0.41886284947395325,0.0005,0.875,0.34112274646759033
15,0.8516936898231506,0.40613603591918945,0.0005,0.8877314925193787,0.34877732396125793
16,0.8647879362106323,0.36554011702537537,0.00025,0.8865740895271301,0.31267914175987244
17,0.8673498630523682,0.3627831041812897,0.00025,0.9027777910232544,0.28401145339012146
18,0.8673498630523682,0.3598324656486511,0.00025,0.9039351940155029,0.2940804660320282
19,0.8741816282272339,0.35344773530960083,0.00025,0.8958333134651184,0.29645150899887085
20,0.8764588832855225,0.353488951921463,0.00025,0.9027777910232544,0.27996861934661865
21,0.8764588832855225,0.3290448784828186,0.000125,0.8969907164573669,0.3026902377605438
22,0.8750355839729309,0.34094467759132385,0.000125,0.9074074029922485,0.2750013768672943
23,0.8807287216186523,0.33177366852760315,0.000125,0.8935185074806213,0.29235222935676575
24,0.8795900940895081,0.318307489156723,6.25e-05,0.9074074029922485,0.2779695987701416
25,0.8810133934020996,0.3270033597946167,6.25e-05,0.90625,0.2772650420665741
26,0.8875604867935181,0.30207425355911255,6.25e-05,0.8958333134651184,0.292642205953598
27,0.8952462077140808,0.30045783519744873,3.125e-05,0.9097222089767456,0.25708481669425964
28,0.8869912028312683,0.3045034110546112,3.125e-05,0.9074074029922485,0.2625538408756256
29,0.8901224136352539,0.30228865146636963,3.125e-05,0.9039351940155029,0.2806832790374756
